epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,54.8621,0.95772,0.84443,1.39743,0.41408,0.61111,0.32569,0.07253,2.91717,3.21126,4.26185,0.0014588,0.0014588,0.0014588
43,55.9131,0.90328,0.86515,1.37182,0.3624,0.44444,0.27837,0.11136,2.26322,3.1344,3.32115,0.0014456,0.0014456,0.0014456
44,56.9647,0.88533,0.89288,1.31854,0.82358,0.77778,0.87673,0.40909,1.54825,1.50094,2.60036,0.0014324,0.0014324,0.0014324
45,57.9961,0.96749,0.90213,1.41364,0.82358,0.77778,0.87673,0.40909,1.54825,1.50094,2.60036,0.0014192,0.0014192,0.0014192
46,59.1615,1.01352,0.8958,1.4878,0.9889,0.88889,0.97107,0.41364,1.61571,1.55298,2.66091,0.001406,0.001406,0.001406
47,60.2161,0.90256,0.80886,1.37172,0.93503,1,0.95132,0.37328,1.89331,1.61044,3.03347,0.0013928,0.0013928,0.0013928
48,61.2313,0.88027,0.85939,1.32699,0.80394,0.77778,0.86347,0.34697,1.88728,2.31552,3.1047,0.0013796,0.0013796,0.0013796
49,62.3503,0.90317,0.80013,1.34415,0.80394,0.77778,0.86347,0.34697,1.88728,2.31552,3.1047,0.0013664,0.0013664,0.0013664
50,63.5662,0.92531,0.80567,1.34814,0.76051,0.88889,0.80693,0.32548,1.86812,1.93811,3.19931,0.0013532,0.0013532,0.0013532
51,65.4807,0.83545,0.75887,1.2934,0.89979,0.99775,0.96812,0.4605,1.44054,1.38131,2.49128,0.00134,0.00134,0.00134
52,67.3217,0.8812,0.79759,1.30094,0.99201,1,0.995,0.68531,1.17172,0.92065,2.17512,0.0013268,0.0013268,0.0013268
53,69.1988,0.92816,0.83266,1.34877,0.99201,1,0.995,0.68531,1.17172,0.92065,2.17512,0.0013136,0.0013136,0.0013136
