epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,671.759,1.03023,0.96314,1.34751,0.89974,0.89961,0.95079,0.62661,0.97321,0.81581,1.57173,0.0009035,0.0009035,0.0009035
44,687.429,1.02493,0.98596,1.3604,0.89567,0.93693,0.95924,0.63222,0.92197,0.73655,1.51016,0.00089525,0.00089525,0.00089525
45,702.54,1.05972,1.00161,1.36739,0.91358,0.84684,0.92739,0.61548,0.97394,0.84786,1.54746,0.000887,0.000887,0.000887
46,717.461,1.05858,0.99275,1.39046,0.9139,0.87978,0.95197,0.60187,0.93452,0.68681,1.53287,0.00087875,0.00087875,0.00087875
47,732.634,1.01367,0.96322,1.33731,0.93308,0.79242,0.87096,0.569,0.93705,0.85486,1.5338,0.0008705,0.0008705,0.0008705
48,747.555,1.02006,0.95895,1.35442,0.87172,0.91089,0.93929,0.61251,0.84569,0.63341,1.42582,0.00086225,0.00086225,0.00086225
49,763.034,0.98584,0.96633,1.34247,0.97554,0.90966,0.96475,0.61778,0.87398,0.6221,1.44441,0.000854,0.000854,0.000854
50,778.049,0.99962,0.90132,1.32985,0.86259,0.98816,0.97609,0.62651,0.91426,0.60201,1.48769,0.00084575,0.00084575,0.00084575
51,793.54,1.00496,0.91721,1.34627,0.89478,0.83216,0.92334,0.58228,0.9308,0.73475,1.51,0.0008375,0.0008375,0.0008375
52,808.483,0.95072,0.90725,1.30259,0.96658,0.90473,0.96477,0.64463,0.84141,0.65783,1.42738,0.00082925,0.00082925,0.00082925
53,823.755,0.99558,0.92466,1.32387,0.90423,0.91487,0.92927,0.63074,0.90043,0.72628,1.49137,0.000821,0.000821,0.000821
54,839.108,0.982,0.90601,1.32651,0.939,0.92091,0.95584,0.66145,0.86142,0.64245,1.45544,0.00081275,0.00081275,0.00081275
55,855.355,0.99725,0.92934,1.32432,0.94463,0.84684,0.95256,0.6195,0.90157,0.7056,1.48766,0.0008045,0.0008045,0.0008045
56,870.949,0.9776,0.92673,1.32868,0.90996,0.91742,0.95042,0.6168,0.88995,0.75168,1.48052,0.00079625,0.00079625,0.00079625
57,886.392,0.96217,0.8584,1.29211,0.8436,0.81508,0.87923,0.59011,0.87586,0.75949,1.44601,0.000788,0.000788,0.000788
58,901.389,0.96265,0.88598,1.30309,0.96958,0.97595,0.99151,0.64293,0.99442,0.60116,1.58513,0.00077975,0.00077975,0.00077975
59,916.398,0.95971,0.87032,1.29217,0.92676,0.95219,0.972,0.65691,0.83012,0.65218,1.41069,0.0007715,0.0007715,0.0007715
60,931.554,0.93396,0.86344,1.29567,0.92144,0.97225,0.98165,0.67947,0.83265,0.54167,1.41817,0.00076325,0.00076325,0.00076325
61,946.653,0.96152,0.88226,1.31014,0.87179,0.93546,0.95951,0.64093,0.87978,0.63292,1.46782,0.000755,0.000755,0.000755
62,961.869,0.97596,0.8784,1.31359,0.92706,0.9014,0.93122,0.64357,0.87873,0.6554,1.48359,0.00074675,0.00074675,0.00074675
63,977.207,0.95271,0.85494,1.29079,0.88433,0.93898,0.95967,0.59181,0.88357,0.6965,1.43725,0.0007385,0.0007385,0.0007385
64,992.339,0.94022,0.82934,1.29187,0.94457,0.95337,0.97902,0.68334,0.84123,0.60175,1.4361,0.00073025,0.00073025,0.00073025
65,1007.44,0.91676,0.84856,1.28026,0.90214,0.92183,0.95979,0.61624,0.95983,0.68532,1.55217,0.000722,0.000722,0.000722
66,1022.66,0.90538,0.83751,1.26806,0.89513,0.88137,0.94573,0.61699,0.83879,0.61377,1.43435,0.00071375,0.00071375,0.00071375
67,1038.34,0.90552,0.80982,1.27504,0.88246,0.97095,0.97111,0.6623,0.81201,0.55587,1.41851,0.0007055,0.0007055,0.0007055
68,1054.02,0.93708,0.84319,1.2932,0.92531,0.96148,0.98144,0.66568,0.83848,0.57678,1.41452,0.00069725,0.00069725,0.00069725
69,1069.29,0.87564,0.80163,1.25005,0.94359,0.93943,0.96948,0.66202,0.78867,0.56751,1.41338,0.000689,0.000689,0.000689
70,1084.52,0.89546,0.81731,1.26846,0.93112,0.93339,0.97438,0.63899,0.85138,0.6425,1.46106,0.00068075,0.00068075,0.00068075
71,1099.75,0.89052,0.79773,1.25961,0.97131,0.88071,0.96155,0.65564,0.79968,0.57606,1.40836,0.0006725,0.0006725,0.0006725
72,1114.75,0.88127,0.79129,1.25584,0.95122,0.93372,0.97594,0.6476,0.80424,0.56905,1.40566,0.00066425,0.00066425,0.00066425
73,1129.74,0.87644,0.78703,1.24921,0.96312,0.87436,0.95192,0.66067,0.80435,0.60383,1.42333,0.000656,0.000656,0.000656
74,1144.91,0.85213,0.76683,1.22884,0.79303,0.86786,0.88148,0.62741,0.81318,0.6777,1.39748,0.00064775,0.00064775,0.00064775
75,1160.28,0.86941,0.79815,1.24138,0.94746,0.92941,0.97032,0.68031,0.8143,0.5161,1.43608,0.0006395,0.0006395,0.0006395
76,1175.85,0.87901,0.7863,1.2606,0.94203,0.88466,0.91932,0.6568,0.84243,0.61711,1.43034,0.00063125,0.00063125,0.00063125
77,1191.12,0.87705,0.75442,1.23648,0.9436,0.91308,0.94714,0.6544,0.8406,0.54105,1.44909,0.000623,0.000623,0.000623
78,1206.29,0.86493,0.78649,1.24205,0.8991,0.88723,0.93616,0.66617,0.77503,0.53964,1.40938,0.00061475,0.00061475,0.00061475
79,1221.33,0.88218,0.7933,1.26713,0.9118,0.93943,0.95708,0.64952,0.81748,0.53317,1.39493,0.0006065,0.0006065,0.0006065
80,1236.86,0.83001,0.73021,1.22341,0.91013,0.91852,0.95825,0.6202,0.82817,0.59056,1.40873,0.00059825,0.00059825,0.00059825
81,1252.76,0.86267,0.7678,1.24888,0.89613,0.91888,0.92485,0.64113,0.78744,0.62677,1.39049,0.00059,0.00059,0.00059
82,1268.01,0.85266,0.7324,1.22913,0.96142,0.94217,0.97707,0.6863,0.75998,0.49257,1.3656,0.00058175,0.00058175,0.00058175
83,1283.18,0.82277,0.74093,1.22995,0.98061,0.87495,0.97201,0.67255,0.79549,0.51782,1.40442,0.0005735,0.0005735,0.0005735
84,1298.74,0.81183,0.7441,1.219,0.89012,0.85625,0.92202,0.63359,0.75523,0.62764,1.34134,0.00056525,0.00056525,0.00056525
85,1313.73,0.83521,0.74573,1.21528,0.9662,0.88378,0.95366,0.62943,0.80338,0.59777,1.45064,0.000557,0.000557,0.000557
86,1328.97,0.8124,0.73592,1.21289,0.97841,0.96236,0.99003,0.65911,0.75015,0.48455,1.39136,0.00054875,0.00054875,0.00054875
87,1343.8,0.82036,0.73127,1.21187,0.89671,0.91993,0.92902,0.61012,0.82813,0.57288,1.44785,0.0005405,0.0005405,0.0005405
88,1358.93,0.83839,0.72003,1.23819,0.92758,0.9212,0.94471,0.60558,0.7898,0.58088,1.37656,0.00053225,0.00053225,0.00053225
89,1374.2,0.81076,0.71863,1.21156,0.90948,0.93445,0.97116,0.62637,0.79822,0.53299,1.40175,0.000524,0.000524,0.000524
90,1389.41,0.81826,0.7086,1.19953,0.93467,0.86536,0.94676,0.61543,0.83794,0.59936,1.44353,0.00051575,0.00051575,0.00051575
91,1404.44,0.7988,0.70765,1.19429,0.97517,0.91938,0.98088,0.68653,0.76753,0.50075,1.40125,0.0005075,0.0005075,0.0005075
92,1419.46,0.80938,0.71174,1.19534,0.87809,0.9226,0.94702,0.65959,0.75896,0.54581,1.41208,0.00049925,0.00049925,0.00049925
93,1435.05,0.77439,0.69505,1.18526,0.9415,1,0.99021,0.7079,0.71426,0.48308,1.36859,0.000491,0.000491,0.000491
94,1450.84,0.81195,0.71992,1.22529,0.9305,0.95216,0.96918,0.68205,0.74557,0.53023,1.37128,0.00048275,0.00048275,0.00048275
95,1466.62,0.80326,0.71995,1.19139,0.93154,0.91648,0.97156,0.68509,0.7918,0.50027,1.41255,0.0004745,0.0004745,0.0004745
96,1482.23,0.78421,0.69312,1.1953,0.97482,0.94542,0.97754,0.69654,0.69973,0.52161,1.33749,0.00046625,0.00046625,0.00046625
97,1497.37,0.78731,0.69015,1.2039,0.91991,0.95287,0.95959,0.67441,0.71186,0.56501,1.32483,0.000458,0.000458,0.000458
98,1512.53,0.78383,0.67785,1.18242,0.94834,0.95224,0.98227,0.69396,0.70949,0.50512,1.30864,0.00044975,0.00044975,0.00044975
99,1527.89,0.77889,0.65433,1.18568,0.96292,0.94445,0.97618,0.70412,0.73855,0.50638,1.35214,0.0004415,0.0004415,0.0004415
100,1543.01,0.76231,0.65907,1.18224,0.96187,0.93561,0.98388,0.68505,0.73763,0.52148,1.39561,0.00043325,0.00043325,0.00043325
101,1558.24,0.77825,0.69179,1.18063,0.96448,0.93693,0.97061,0.67089,0.7391,0.55033,1.38607,0.000425,0.000425,0.000425
102,1573.45,0.78313,0.65523,1.18683,0.9699,0.9048,0.96561,0.66565,0.73043,0.55379,1.36233,0.00041675,0.00041675,0.00041675
103,1589.04,0.74107,0.64155,1.16836,0.97922,0.92439,0.95794,0.69319,0.71838,0.51903,1.34353,0.0004085,0.0004085,0.0004085
104,1604.54,0.76779,0.67117,1.17145,0.92321,0.91755,0.93433,0.66922,0.7299,0.48411,1.35256,0.00040025,0.00040025,0.00040025
105,1619.93,0.75845,0.64336,1.17568,0.96112,0.92772,0.96349,0.65992,0.74731,0.55596,1.39844,0.000392,0.000392,0.000392
106,1635.77,0.72945,0.63395,1.16421,0.93318,0.9367,0.95014,0.68717,0.71642,0.4653,1.37674,0.00038375,0.00038375,0.00038375
107,1651.7,0.77226,0.65292,1.17618,0.95182,0.95755,0.97612,0.66928,0.71934,0.47343,1.34771,0.0003755,0.0003755,0.0003755
108,1667.02,0.72417,0.61714,1.14692,0.97541,0.91089,0.97027,0.6745,0.74271,0.51148,1.37743,0.00036725,0.00036725,0.00036725
109,1682.38,0.7145,0.62246,1.14391,0.94466,0.91011,0.95345,0.6664,0.73654,0.54745,1.3732,0.000359,0.000359,0.000359
110,1697.84,0.71791,0.62379,1.14106,0.94318,0.94138,0.9689,0.67286,0.73366,0.47143,1.3809,0.00035075,0.00035075,0.00035075
111,1713,0.7144,0.62934,1.14593,0.90942,0.92376,0.95423,0.65592,0.74489,0.52634,1.38874,0.0003425,0.0003425,0.0003425
112,1728.31,0.72765,0.61614,1.15159,0.95745,0.95455,0.98082,0.68495,0.72248,0.47151,1.37722,0.00033425,0.00033425,0.00033425
113,1743.57,0.73309,0.62085,1.15436,0.95235,0.9524,0.98322,0.69575,0.71615,0.45617,1.33979,0.000326,0.000326,0.000326
114,1759.19,0.73021,0.64027,1.16022,0.98622,0.92842,0.96202,0.6788,0.70695,0.46957,1.33869,0.00031775,0.00031775,0.00031775
115,1774.14,0.70363,0.60102,1.13583,0.97508,0.87493,0.96235,0.68597,0.68017,0.49402,1.32086,0.0003095,0.0003095,0.0003095
116,1789.68,0.68855,0.58864,1.12986,0.98287,0.92834,0.98501,0.71277,0.66823,0.4452,1.32233,0.00030125,0.00030125,0.00030125
117,1805.44,0.73696,0.63364,1.16095,0.92728,0.97331,0.98613,0.69561,0.68851,0.46158,1.31659,0.000293,0.000293,0.000293
118,1820.91,0.69752,0.61341,1.13535,0.97537,0.89059,0.9721,0.6881,0.70009,0.48338,1.33031,0.00028475,0.00028475,0.00028475
119,1837.23,0.67629,0.5822,1.13322,0.96706,0.91499,0.96385,0.67619,0.67927,0.48204,1.31914,0.0002765,0.0002765,0.0002765
120,1852.53,0.72515,0.65697,1.1531,0.93622,0.95343,0.98936,0.67142,0.74725,0.45046,1.36867,0.00026825,0.00026825,0.00026825
121,1868.55,0.66722,0.55832,1.12232,0.96142,0.97738,0.99252,0.69966,0.6817,0.42331,1.33052,0.00026,0.00026,0.00026
122,1884.48,0.69364,0.60008,1.13066,0.93109,0.94444,0.96424,0.70008,0.66803,0.41979,1.3151,0.00025175,0.00025175,0.00025175
123,1899.94,0.68801,0.60891,1.13804,0.96148,0.95295,0.98722,0.70551,0.67792,0.44293,1.31538,0.0002435,0.0002435,0.0002435
124,1915.69,0.68996,0.60655,1.12434,0.98132,0.94702,0.98608,0.69739,0.68984,0.42841,1.33952,0.00023525,0.00023525,0.00023525
125,1931.38,0.69898,0.60087,1.13355,0.96044,0.92434,0.96338,0.71282,0.68651,0.44312,1.33044,0.000227,0.000227,0.000227
126,1946.4,0.66571,0.5698,1.11454,0.94311,0.95032,0.97051,0.70406,0.69268,0.45144,1.34367,0.00021875,0.00021875,0.00021875
127,1962.24,0.69726,0.59629,1.13527,0.94966,0.93513,0.9642,0.68231,0.70279,0.47827,1.37412,0.0002105,0.0002105,0.0002105
128,1978.05,0.68581,0.59305,1.12655,0.96745,0.97244,0.99259,0.70307,0.67893,0.43197,1.35344,0.00020225,0.00020225,0.00020225
129,1993.97,0.67398,0.59,1.12228,0.93912,0.93883,0.96785,0.70841,0.67298,0.43174,1.34678,0.000194,0.000194,0.000194
130,2009.5,0.65698,0.56777,1.11832,0.94129,0.90808,0.95862,0.69796,0.66106,0.44647,1.35313,0.00018575,0.00018575,0.00018575
